config_name,type,th_s2,th_s3,macro_f05,macro_precision,macro_recall,micro_f05,micro_precision,micro_recall,pair_fp_count,pair_tp_count,predicted_matches,zero_match_entities,singleton_entities,multimatch_entities
global_0.98,global,0.98,0.98,0.9541,0.9841,0.9311,0.9727,0.9832,0.9329,14,820,834,13,11,226
src_S2_0.96_S3_0.95,source_specific,0.96,0.95,0.9533,0.979,0.9421,0.9702,0.9776,0.942,19,828,847,13,8,229
global_0.96,global,0.96,0.96,0.9531,0.979,0.9411,0.97,0.9775,0.9408,19,827,846,13,8,229
global_0.92,global,0.92,0.92,0.9525,0.9768,0.9458,0.9683,0.9742,0.9454,22,831,853,13,8,229
global_0.93,global,0.93,0.93,0.9522,0.9768,0.9445,0.968,0.9742,0.9443,22,830,852,13,8,229
src_S2_0.92_S3_0.95,source_specific,0.92,0.95,0.9522,0.9768,0.9445,0.968,0.9742,0.9443,22,830,852,13,8,229
global_0.94,global,0.94,0.94,0.9518,0.9768,0.9431,0.9678,0.9741,0.9431,22,829,851,13,8,229
global_0.95,global,0.95,0.95,0.9518,0.9768,0.9431,0.9678,0.9741,0.9431,22,829,851,13,8,229
global_0.97,global,0.97,0.97,0.9518,0.979,0.9368,0.9692,0.9775,0.9374,19,824,843,13,9,228
src_S2_0.94_S3_0.95,source_specific,0.94,0.95,0.9518,0.9768,0.9431,0.9678,0.9741,0.9431,22,829,851,13,8,229
src_S2_0.95_S3_0.94,source_specific,0.95,0.94,0.9518,0.9768,0.9431,0.9678,0.9741,0.9431,22,829,851,13,8,229
src_S2_0.93_S3_0.95,source_specific,0.93,0.95,0.9518,0.9768,0.9431,0.9678,0.9741,0.9431,22,829,851,13,8,229
src_S2_0.95_S3_0.96,source_specific,0.95,0.96,0.9515,0.9768,0.9421,0.9675,0.9741,0.942,22,828,850,13,8,229
global_0.90,global,0.9,0.9,0.9488,0.9728,0.9468,0.9677,0.9731,0.9465,23,832,855,12,9,229
